name,geom_lat,geom_long,country,place
"L0C,44.2094,-79.0725,""CA"",""West Durham Regional Municipality (Sunderland)"""
"L0E,44.3199,-79.2778,""CA"",""Lake Simcoe Southeast Shore (Sutton West)"""
"L0G,44.0586,-79.6235,""CA"",""Ontario Centre (Queensville)"""
"L0H,43.9023,-79.1554,""CA"",""Whitby Region (Gormley)"""
"L0J,43.8566,-79.6485,""CA"",""North Peel Regional Municipality (Kleinburg)"""
"L0L,44.4548,-79.7352,""CA"",""Lake Simcoe West Shore (Oro)"""
"L0M,44.3269,-80.0333,""CA"",""Georgian Bay South Shore (Angus)"""
"L0P,43.4906,-79.9998,""CA"",""Halton Regional Municipality (Campbellville)"""
"L0R,43.1607,-79.7463,""CA"",""East Haldimand County (Waterdown)"""
"L0S,42.9071,-79.0832,""CA"",""Niagara Regional Municipality (Fonthill)"""
"L1G,43.9233,-78.8684,""CA"",""Oshawa Central"""
"L1H,43.9721,-78.8837,""CA"",""Oshawa Southeast"""
"L1J,43.8852,-78.8771,""CA"",""Oshawa Southwest"""
"L1L,43.9581,-78.8972,""CA"",""Oshawa North"""
"L1M,43.9566,-78.9779,""CA"",""Whitby North"""
"L1N,43.8721,-78.9273,""CA"",""Whitby Southeast"""
"L1P,43.8866,-78.975,""CA"",""Whitby Southwest"""
"L1R,43.9215,-78.9412,""CA"",""Whitby Central"""
"L1S,43.8404,-79.0251,""CA"",""Ajax Southwest"""
"L1T,43.8843,-79.0534,""CA"",""Ajax Northwest"""
"L1V,43.8605,-79.1618,""CA"",""Pickering Southwest"""
"L1W,43.8197,-79.0803,""CA"",""Pickering South"""
"L1X,43.8558,-79.0972,""CA"",""Pickering Central"""
"L1Y,43.9555,-79.1194,""CA"",""Pickering North"""
"L1Z,43.8773,-79.0055,""CA"",""Ajax East"""
"L2A,42.9001,-78.9329,""CA"",""Fort Erie"""
"L2E,43.0537,-79.1018,""CA"",""Niagara Falls Central"""
"L2G,43.0696,-79.0818,""CA"",""Niagara Falls Southeast"""
"L2H,43.1009,-79.1379,""CA"",""Niagara Falls West"""
"L2J,43.1296,-79.1034,""CA"",""Niagara Falls North"""
"L2M,43.196,-79.2161,""CA"",""St. Catharines Northeast"""
"L2N,43.1923,-79.2559,""CA"",""St. Catharines Northwest"""
"L2P,43.1527,-79.2091,""CA"",""St. Catharines East"""
"L2R,43.1419,-79.2966,""CA"",""St. Catharines Central"""
"L2S,43.1447,-79.2634,""CA"",""St. Catharines Southwest"""
"L2T,43.1313,-79.2317,""CA"",""St. Catharines South"""
"L2V,43.1142,-79.2035,""CA"",""St. Catharines Southeast"""
"L2W,43.1688,-79.2794,""CA"",""St. Catharines West"""
"L3B,42.9878,-79.2219,""CA"",""Welland East"""
"L3C,42.9998,-79.2656,""CA"",""Welland West"""
"L3K,42.9001,-79.2329,""CA"",""Port Colborne"""
"L3M,43.2001,-79.5663,""CA"",""Grimsby"""
